Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3128709799,120,FALSE,Rx,0,8,2,4,84,B0,0,0,0C,E5
3128711753,125,FALSE,Rx,0,6,0,0,0,5,0C,ED,0,0
3128712848,165,FALSE,Rx,0,8,1,F3,0,0,0,0,0C,CD
3128716781,130,FALSE,Rx,0,7,80,0,1,41,60,0D,3A,0
3128719021,145,FALSE,Rx,0,8,0,0,40,5,54,0,0,0
3128719807,120,FALSE,Rx,0,8,2,4,84,B0,0,0,0D,F8
3128721754,125,FALSE,Rx,0,6,0,0,0,5,0D,F0,0,0
3128722866,165,FALSE,Rx,0,8,1,F4,0,0,0,0,0D,1F
3128726775,130,FALSE,Rx,0,7,80,0,1,41,60,0E,1D,0
3128729802,120,FALSE,Rx,0,8,2,4,84,B0,0,0,0E,DF
3128731748,125,FALSE,Rx,0,6,0,0,0,5,0E,D7,0,0
3128732858,165,FALSE,Rx,0,8,1,F4,0,0,0,0,0E,38
3128736782,130,FALSE,Rx,0,7,80,0,1,41,60,0F,0,0
3128739803,120,FALSE,Rx,0,8,2,4,84,B0,0,0,0F,C2
3128741748,125,FALSE,Rx,0,6,0,0,0,5,0F,CA,0,0
3128742858,165,FALSE,Rx,0,8,1,F3,0,0,0,0,0F,EA
3128746782,130,FALSE,Rx,0,7,80,0,1,41,60,0,BB,0
3128748536,110,FALSE,Rx,0,5,91,0,0,1,C9,0,0,0
3128748767,115,FALSE,Rx,0,7,80,0,80,0,0,1,7E,0
3128749804,120,FALSE,Rx,0,8,2,4,84,B0,0,0,0,79
3128751757,125,FALSE,Rx,0,6,0,0,0,5,0,71,0,0
3128752851,165,FALSE,Rx,0,8,1,F4,0,0,0,0,0,9E
3128756784,130,FALSE,Rx,0,7,80,0,1,41,60,1,A6,0
3128758575,110,FALSE,Rx,0,5,91,0,0,2,EE,0,0,0
3128758798,115,FALSE,Rx,0,7,80,0,80,0,0,2,59,0
3128759811,120,FALSE,Rx,0,8,2,4,84,B0,0,0,1,64
3128761749,125,FALSE,Rx,0,6,0,0,0,5,1,6C,0,0
3128762854,165,FALSE,Rx,0,8,1,F4,0,0,0,0,1,83
3128766779,130,FALSE,Rx,0,7,80,0,1,41,90,2,63,0
3128768586,110,FALSE,Rx,0,5,91,0,0,3,F3,0,0,0
3128768815,115,FALSE,Rx,0,7,80,0,80,0,0,3,44,0
3128769806,120,FALSE,Rx,0,8,2,4,84,B0,0,0,2,43
3128771753,125,FALSE,Rx,0,6,0,0,0,5,2,4B,0,0
3128772849,165,FALSE,Rx,0,8,1,F4,0,0,0,0,2,A4
3128776780,130,FALSE,Rx,0,7,80,0,1,41,90,3,7E,0
3128778609,110,FALSE,Rx,0,5,91,0,0,4,A0,0,0,0
3128778840,115,FALSE,Rx,0,7,80,0,80,0,0,4,17,0
3128779082,135,FALSE,Rx,0,8,8,0,6F,0,0,0,0,1
3128779807,120,FALSE,Rx,0,8,2,4,84,B0,0,0,3,5E
3128781747,125,FALSE,Rx,0,6,0,0,0,5,3,56,0,0
3128782853,165,FALSE,Rx,0,8,1,F4,0,0,0,0,3,B9
3128786778,130,FALSE,Rx,0,7,80,0,1,41,90,4,2D,0
3128788615,110,FALSE,Rx,0,5,91,0,0,5,BD,0,0,0
3128788844,115,FALSE,Rx,0,7,80,0,80,0,0,5,0A,0
3128789810,120,FALSE,Rx,0,8,2,4,84,B0,0,0,4,0D
3128791757,125,FALSE,Rx,0,6,0,0,0,5,4,5,0,0
3128792846,165,FALSE,Rx,0,8,1,F4,0,0,0,0,4,EA
3128796773,130,FALSE,Rx,0,7,80,0,1,41,90,5,30,0
3128798640,110,FALSE,Rx,0,5,91,0,0,6,9A,0,0,0
3128798869,115,FALSE,Rx,0,7,80,0,80,0,0,6,2D,0
3128799813,120,FALSE,Rx,0,8,2,4,84,B0,0,0,5,10
3128801753,125,FALSE,Rx,0,6,0,0,0,5,5,18,0,0
3128802858,165,FALSE,Rx,0,8,1,F4,0,0,0,0,5,F7
3128806776,130,FALSE,Rx,0,7,80,0,1,41,90,6,17,0
3128808651,110,FALSE,Rx,0,5,91,0,0,7,87,0,0,0
3128808872,115,FALSE,Rx,0,7,80,0,80,0,0,7,30,0
3128809808,120,FALSE,Rx,0,8,2,4,84,B0,0,0,6,37
3128811756,125,FALSE,Rx,0,6,0,0,0,5,6,3F,0,0
3128812853,165,FALSE,Rx,0,8,1,F4,0,0,0,0,6,D0
3128816792,130,FALSE,Rx,0,7,80,0,1,42,90,7,86,0
3128818690,110,FALSE,Rx,0,5,91,0,0,8,3C,0,0,0
3128818913,115,FALSE,Rx,0,7,80,0,80,0,0,8,8B,0
